Title_ZH,Country,Finished,Genres_EN,Score /5,Status,TMDB_ID,Title_EN,
致美麗的我們,Korea,2/27/2023,Other,3,Finished,114395,A Love So Beautiful,
魔鬼神探 S1,USA,2/25/2023,Other,4,Finished,63174,Lucifer S1,
特殊失蹤專案組：失蹤的黑色M,Korea,2/22/2023,Crime,3,Finished,62449,Missing Noir M,
變成你的那一天,China,2/15/2023,Drama,3,Finished,127668,The Day of Becoming You,
我遲到了這麼多年,China,2/6/2023,Other,3,Finished,217770,Never Too Late,
時光與他，恰是正好,China,2/6/2023,Drama,3,Finished,217048,Time and Him are Just Right,
第九節課,Taiwan,2/5/2023,Drama,3,Finished,201672,Lesson in Love,
浪漫醫生金師傅 S2,Korea,2/1/2023,"Drama, Medical",4,Finished,68398,Dr. Romantic Season 2,
點燃我，溫暖你,China,1/30/2023,Drama,4,Finished,134331,Lighter and Princess,
向風而行,China,1/20/2023,Drama,3,Finished,217038,Flight To You,
終極筆記,China,1/14/2023,Drama,4,Finished,114497,Ultimate Note,
消失的初戀,Japan,12/26/2022,Drama and Comedy,4,Finished,135929,My Love Mix-Up!,
經典杯子蛋糕,Japan,12/26/2022,Drama,3,Finished,203990,Old Fashion Cupcake,
一二三木頭人,China,10/17/2022,Drama,2,Finished,211332,Smile to Life,
食人魔達摩,USA,10/8/2022,Other,3,Finished,113988,Dahmer – Monster: The Jeffrey Dahmer Story,
虛顏,China,10/5/2022,Drama,3,Finished,210851,A Familiar Stranger,
魔法俏佳人傳奇 S2,USA,10/1/2022,Other,3,Finished,97175,Fate: The Winx Saga Season 2,
別惹前女友,China,9/19/2022,Comedy,3,Finished,209101,Don't Mess With EX-Girlfriend,
成人練習生,Korea,9/14/2022,Comedy,3,Finished,137467,Adult Trainee,
OCTO～感情搜查官 心野朱梨～,Japan,9/13/2022,Crime,3,Finished,203663,Octo: Emotional Investigator Shinno Akari,
潘多拉的果實~科學犯罪搜查檔案~ S2,Japan,9/2/2022,Other,4,Finished,194818,Pandora's Fruit S2,
潘多拉的果實~科學犯罪搜查檔案~ S1,Japan,9/2/2022,Other,4,Finished,194818,Pandora's Fruit S1,
關於唐醫生的一切,China,8/29/2022,Drama,4,Finished,204839,Dr. Tang,
非常律師禹英禑,Korea,8/25/2022,Drama,4,Finished,197067,Extraordinary Attorney Woo,
就算是爸爸也想做,Animate,8/23/2022,Animation,2,Finished,85588,"Papa datte, Shitai",
爆肝工程師的異世界狂想曲,Animate,8/23/2022,Animation,3,Finished,76122,Death March to the Parallel World Rhapsody,
SPEC,Japan,8/16/2022,"Sci-Fi & Fantasy, Drama, and Comedy",4,Finished,45923,SPEC~First BLood,
Link：盡情吃，用力愛,Korea,7/31/2022,Drama,4,Finished,155231,"Link: Eat, Love, Kill",
夜色傾心,China,7/20/2022,Drama,3,Finished,205289,Night of Love With You,
黑幫少爺愛上我,Thailand,7/11/2022,Action & Adventure,3,Finished,117067,KinnPorsche: The Series,
金田一少年事件簿 第五代,Japan,7/6/2022,Other,2,Finished,194852,The Files of Young Kindaichi,
解讀惡之心的人,Korea,7/4/2022,Crime,3,Finished,146102,Through the Darkness,
ON-異常犯罪搜查官．藤堂比奈子 S1,Japan,6/28/2022,Other,4,Finished,67640,"Atypical Crime Investgator, Hinako Todo",
法醫秦明之讀心者,China,6/21/2022,Drama,3,Finished,202461,Medical Examiner Dr. Qin - The Mind Reader,
永遠的第一名,Taiwan,6/17/2022,Drama,3,Finished,116175,We Best Love,
戀愛修課,England,6/2/2022,Drama,4,Finished,124834,Heartstopper,
少年法庭,Korea,5/23/2022,Drama,4,Finished,112833,Juvenile Justice,
平凡職業造就世界最強,Animate,5/16/2022,Animation,3,Finished,86034,Arifureta: From Commonplace to World's Strongest,
想見你,Taiwan,5/9/2022,"Mystery, Sci-Fi & Fantasy, and Drama",4,Finished,95717,Someday or One day,
待到重逢時,Thailand,5/4/2022,Drama,2,Finished,95279,Until We Meet Again,
與愛同居,Thailand,5/3/2022,Drama,2,Finished,93975,TharnType,
兩小無拆,Thailand,5/2/2022,Comedy,3,Finished,122009,Bad Buddy,
勿言推理,Japan,4/27/2022,Drama,4,Finished,126849,Don't Call It Mystery,
明天也想見到你,China,4/23/2022,Drama,3,Finished,197438,See You Tomorrow,
社內相親,Korea,4/20/2022,Comedy and Drama,4,Finished,154825,Business Proposal ,
